holder;capper;trf cap
5;3;12
2;2;5
6;1;1
5;1;2
1;4;4
1;1;1
1;1;1
3;4;1
1;1;4
1;2;1
1;4;20
1;1;1
4;1;1
1;2;1
6;3;1
1;1;8
13;1;13
1;2;1
1;3;3
1;14;1
4;1;1
1;1;5
2;2;3
1;5;4
3;6;1
1;1;1
1;14;1
2;1;1
3;1;3
3;1;16
1;5;1
7;1;1
5;6;6
6;1;1
6;1;3
1;4;7
1;2;2
1;1;9
1;5;5
1;2;1
2;3;4
2;3;10
5;4;4
2;1;11
1;1;5
1;6;7
4;8;35
2;1;8
1;7;2
3;4;17
1;16;1
6;2;1
1;5;36
1;1;52
1;1;
1;11;
4;2;
2;1;
1;12;
5;1;
1;8;
1;7;
3;3;
1;30;
1;14;
1;15;
4;4;
1;1;
1;2;
1;1;
1;34;
2;4;
1;1;
1;24;
1;4;
1;;
1;;
3;;
1;;
6;;
1;;
1;;
1;;
1;;
1;;
2;;
2;;
1;;
1;;
3;;
2;;
1;;
1;;
5;;
2;;
3;;
3;;
1;;
1;;
6;;
5;;
1;;
1;;
3;;
3;;
4;;
1;;
1;;
1;;
1;;
5;;
2;;
5;;
1;;
1;;
5;;
1;;
1;;
1;;
2;;
1;;
2;;
1;;
3;;
14;;
1;;
6;;
22;;
2;;
1;;
4;;
1;;
3;;
4;;
2;;
7;;
17;;
2;;
